metric,window,dt,error,order
w3,full,0.025,0.008849265908756518,-1.1719878268440456
w3,full,0.05,0.027727089889818438,-1.1719878268440456
w3,full,0.1,0.06164901075704243,-1.1719878268440456
w3,full,0.2,0.12373024147562724,-1.1719878268440456
w3,full,0.4,0.24329820923599194,-1.1719878268440456
w3,burn_mid,0.025,0.05218885920498156,-0.9800413537167748
w3,burn_mid,0.05,0.12106413120567447,-0.9800413537167748
w3,burn_mid,0.1,0.2372959026367891,-0.9800413537167748
w3,burn_mid,0.2,0.45635016019188424,-0.9800413537167748
w3,burn_mid,0.4,0.8026859610341261,-0.9800413537167748
w3,coast_mid,0.025,0.008544055998536509,-1.1795311831423725
w3,coast_mid,0.05,0.027195257806494094,-1.1795311831423725
w3,coast_mid,0.1,0.06073773971807103,-1.1795311831423725
w3,coast_mid,0.2,0.12226533026941312,-1.1795311831423725
w3,coast_mid,0.4,0.24023171863435488,-1.1795311831423725
v3,full,0.025,0.007293311339176632,-1.14108587812787
v3,full,0.05,0.019943312717000977,-1.14108587812787
v3,full,0.1,0.04280530977097506,-1.14108587812787
v3,full,0.2,0.08758104065887393,-1.14108587812787
v3,full,0.4,0.18160330037746805,-1.14108587812787
v3,burn_mid,0.025,0.0136407460743163,-1.1827316166728867
v3,burn_mid,0.05,0.035640645129819314,-1.1827316166728867
v3,burn_mid,0.1,0.07483133596804104,-1.1827316166728867
v3,burn_mid,0.2,0.16216352018149643,-1.1827316166728867
v3,burn_mid,0.4,0.3854985850621058,-1.1827316166728867
v3,coast_mid,0.025,0.00193023374779802,-1.3566205189230396
v3,coast_mid,0.05,0.008276540231524533,-1.3566205189230396
v3,coast_mid,0.1,0.020430980054573184,-1.3566205189230396
v3,coast_mid,0.2,0.04287234929134839,-1.3566205189230396
v3,coast_mid,0.4,0.09340347264766688,-1.3566205189230396
